timestamp,corriente,tension,potencia
2024-04-30 15:36:58,4.65,220.94,1030.33
2024-04-30 15:36:59,4.65,220.94,1029.34
2024-04-30 15:37:00,4.65,220.94,1029.34
2024-04-30 15:37:01,4.65,220.94,1029.34
2024-04-30 15:37:02,4.65,220.94,1028.84
2024-04-30 15:37:03,4.65,220.94,1030.33
2024-04-30 15:37:04,4.66,220.94,1032.33
2024-04-30 15:37:05,4.65,220.94,1031.83
2024-04-30 15:37:06,4.66,220.94,1033.32
2024-04-30 15:37:07,4.66,220.94,1032.33
2024-04-30 15:37:08,4.66,220.94,1032.33
2024-04-30 15:37:09,4.65,220.94,1030.83
2024-04-30 15:37:10,4.65,220.94,1029.83
2024-04-30 15:37:11,4.65,220.94,1028.84
2024-04-30 15:37:12,4.65,220.94,1029.34
2024-04-30 15:37:13,4.65,220.94,1028.84
2024-04-30 15:37:14,4.65,220.94,1028.84
2024-04-30 15:37:15,4.65,220.94,1028.84
2024-04-30 15:37:16,4.65,220.94,1030.83
2024-04-30 15:37:17,4.65,220.94,1030.33
2024-04-30 15:37:18,4.65,220.94,1029.83
2024-04-30 15:37:19,4.65,220.94,1028.84
2024-04-30 15:37:20,4.65,220.94,1029.34
2024-04-30 15:37:21,4.65,220.94,1029.34
2024-04-30 15:37:22,4.65,220.94,1030.83
2024-04-30 15:37:23,4.65,220.94,1029.34
2024-04-30 15:37:24,4.65,220.94,1028.34
2024-04-30 15:37:25,4.65,220.94,1028.84
2024-04-30 15:37:26,4.65,220.94,1027.84
2024-04-30 15:37:27,4.65,220.94,1028.34
2024-04-30 15:37:28,4.65,220.94,1028.84
2024-04-30 15:37:29,4.64,220.94,1027.34
2024-04-30 15:37:30,4.65,220.94,1028.34
2024-04-30 15:37:31,4.64,220.94,1025.35
2024-04-30 15:37:32,4.65,220.94,1028.84
2024-04-30 15:37:33,4.65,220.94,1029.83
2024-04-30 15:37:34,4.65,220.94,1032.33
2024-04-30 15:37:35,4.65,220.94,1032.33
2024-04-30 15:37:36,4.66,220.94,1032.33
2024-04-30 15:37:37,4.65,220.94,1032.33
2024-04-30 15:37:38,4.65,220.94,1031.83
2024-04-30 15:37:39,4.65,220.94,1031.33
2024-04-30 15:37:40,4.65,220.94,1030.83
2024-04-30 15:37:41,4.65,220.94,1029.34
2024-04-30 15:37:42,4.65,220.94,1028.84
2024-04-30 15:37:43,4.65,220.94,1030.33
2024-04-30 15:37:44,4.66,220.94,1032.33
2024-04-30 15:37:45,4.65,220.94,1031.33
2024-04-30 15:37:46,4.65,220.94,1029.34
2024-04-30 15:37:47,4.65,220.94,1031.33
2024-04-30 15:37:48,4.65,220.94,1030.83
2024-04-30 15:37:49,4.65,220.94,1031.33
2024-04-30 15:37:50,4.65,220.94,1030.83
2024-04-30 15:37:51,4.65,220.94,1031.33
2024-04-30 15:37:52,4.66,220.94,1032.82
2024-04-30 15:37:53,4.65,220.94,1031.83
2024-04-30 15:37:54,4.66,220.94,1031.83
2024-04-30 15:37:55,4.65,220.94,1031.33
2024-04-30 15:37:56,4.66,220.94,1031.33
2024-04-30 15:37:57,4.65,220.94,1030.33
2024-04-30 15:37:58,4.65,220.94,1031.33
2024-04-30 15:37:59,4.65,220.94,1030.83
2024-04-30 15:38:00,4.65,220.94,1030.83
2024-04-30 15:38:01,4.65,220.94,1031.33
2024-04-30 15:38:02,4.65,220.94,1031.83
2024-04-30 15:38:03,4.65,220.94,1031.83
2024-04-30 15:38:04,4.65,220.94,1031.83
2024-04-30 15:38:05,4.65,220.94,1031.33
2024-04-30 15:38:06,4.65,220.94,1028.34
2024-04-30 15:38:07,4.65,220.94,1032.33
2024-04-30 15:38:08,4.65,220.94,1031.83
2024-04-30 15:38:09,4.66,220.94,1031.83
2024-04-30 15:38:10,4.66,220.94,1032.82
2024-04-30 15:38:11,4.66,220.94,1033.32
2024-04-30 15:38:12,4.66,220.94,1034.32
2024-04-30 15:38:13,4.66,220.94,1034.82
2024-04-30 15:38:14,4.66,220.94,1034.82
2024-04-30 15:38:15,4.66,220.94,1034.32
2024-04-30 15:38:16,4.66,220.94,1032.82
2024-04-30 15:38:17,4.65,220.94,1031.33
2024-04-30 15:38:18,4.65,220.94,1031.83
2024-04-30 15:38:19,4.65,220.94,1031.33
2024-04-30 15:38:20,4.65,220.94,1031.33
2024-04-30 15:38:21,4.65,220.94,1030.83
2024-04-30 15:38:22,4.66,220.94,1032.82
2024-04-30 15:38:23,4.66,220.94,1032.82
2024-04-30 15:38:24,4.66,220.94,1032.82
2024-04-30 15:38:25,4.66,220.94,1033.32
2024-04-30 15:38:26,4.66,220.94,1032.33
2024-04-30 15:38:27,4.65,220.94,1031.83
2024-04-30 15:38:28,4.66,220.94,1033.32
2024-04-30 15:38:29,4.66,220.94,1032.82
2024-04-30 15:38:30,4.66,220.94,1035.31
2024-04-30 15:38:31,4.66,220.94,1033.82
2024-04-30 15:38:32,4.66,220.94,1033.82
2024-04-30 15:38:33,4.66,220.94,1033.32
2024-04-30 15:38:34,4.66,220.94,1034.82
2024-04-30 15:38:35,4.66,220.94,1033.32
2024-04-30 15:38:36,4.66,220.94,1032.82
2024-04-30 15:38:37,4.66,220.94,1032.33
2024-04-30 15:38:38,4.65,220.94,1032.33
2024-04-30 15:38:39,4.66,220.94,1033.32
2024-04-30 15:38:40,4.65,220.94,1031.83
2024-04-30 15:38:41,4.65,220.94,1031.33
2024-04-30 15:38:42,4.65,220.94,1031.83
2024-04-30 15:38:43,4.66,220.94,1032.82
